# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Flop,0,-100,100,CHECK,0,"['6s', '3s']","['2h', '6h']","['9s', '2d', 'As']",,4s,100,100
7,Turn,1,-100,100,CHECK,0,"['6s', '3s']","['2h', '6h']","['9s', '2d', 'As', '7s']",,4s,100,100
7,Turn,0,-100,100,CHECK,0,"['6s', '3s']","['2h', '6h']","['9s', '2d', 'As', '7s']",,4s,100,100
7,River,1,-100,100,CHECK,0,"['6s', '3s']","['2h', '6h']","['9s', '2d', 'As', '7s', '8h']",,4s,100,100
7,River,0,-100,100,CHECK,0,"['6s', '3s']","['2h', '6h']","['9s', '2d', 'As', '7s', '8h']",,4s,100,100
8,Pre-Flop,0,0,0,RAISE,98,"['8d', '4d']","['2s', '3d']","['6h', 'Ah']",,,1,1
8,Pre-Flop,1,0,0,DISCARD,0,"['8d', '4d']","['2s', '3d']","['6h', 'Ah']",,,2,2
8,Pre-Flop,1,0,0,CALL,0,"['8d', '4d']","['2s', '6s']","['6h', 'Ah']",,3d,2,2
8,Flop,0,0,0,CHECK,0,"['8d', '4d']","['2s', '6s']","['6h', 'Ah', '9d']",,3d,100,100
8,Flop,1,0,0,CHECK,0,"['8d', '4d']","['2s', '6s']","['6h', 'Ah', '9d']",,3d,100,100
8,Turn,0,0,0,CHECK,0,"['8d', '4d']","['2s', '6s']","['6h', 'Ah', '9d', 'Ad']",,3d,100,100
8,Turn,1,0,0,CHECK,0,"['8d', '4d']","['2s', '6s']","['6h', 'Ah', '9d', 'Ad']",,3d,100,100
8,River,0,0,0,CHECK,0,"['8d', '4d']","['2s', '6s']","['6h', 'Ah', '9d', 'Ad', '5s']",,3d,100,100
8,River,1,0,0,CHECK,0,"['8d', '4d']","['2s', '6s']","['6h', 'Ah', '9d', 'Ad', '5s']",,3d,100,100
9,Pre-Flop,1,-100,100,DISCARD,0,"['3h', '4h']","['As', '2d']","['9d', '7h']",,,1,1
9,Pre-Flop,1,-100,100,CALL,0,"['3h', '4h']","['As', '2s']","['9d', '7h']",,2d,1,1
9,Pre-Flop,0,-100,100,RAISE,98,"['3h', '4h']","['As', '2s']","['9d', '7h']",,2d,2,2
9,Pre-Flop,1,-100,100,CALL,0,"['3h', '4h']","['As', '2s']","['9d', '7h']",,2d,2,2
9,Flop,1,-100,100,CHECK,0,"['3h', '4h']","['As', '2s']","['9d', '7h', '9h']",,2d,100,100
9,Flop,0,-100,100,CHECK,0,"['3h', '4h']","['As', '2s']","['9d', '7h', '9h']",,2d,100,100
9,Turn,1,-100,100,CHECK,0,"['3h', '4h']","['As', '2s']","['9d', '7h', '9h', '8s']",,2d,100,100
9,Turn,0,-100,100,CHECK,0,"['3h', '4h']","['As', '2s']","['9d', '7h', '9h', '8s']",,2d,100,100
9,River,1,-100,100,CHECK,0,"['3h', '4h']","['As', '2s']","['9d', '7h', '9h', '8s', '5s']",,2d,100,100
9,River,0,-100,100,CHECK,0,"['3h', '4h']","['As', '2s']","['9d', '7h', '9h', '8s', '5s']",,2d,100,100
10,Pre-Flop,0,-200,200,RAISE,98,"['3s', '5d']","['9h', '7s']","['8s', '2d']",,,1,1
10,Pre-Flop,1,-200,200,DISCARD,0,"['3s', '5d']","['9h', '7s']","['8s', '2d']",,,2,2
10,Pre-Flop,1,-200,200,CALL,0,"['3s', '5d']","['As', '7s']","['8s', '2d']",,9h,2,2
10,Flop,0,-200,200,CHECK,0,"['3s', '5d']","['As', '7s']","['8s', '2d', '8d']",,9h,100,100
10,Flop,1,-200,200,CHECK,0,"['3s', '5d']","['As', '7s']","['8s', '2d', '8d']",,9h,100,100
10,Turn,0,-200,200,CHECK,0,"['3s', '5d']","['As', '7s']","['8s', '2d', '8d', '6s']",,9h,100,100
10,Turn,1,-200,200,CHECK,0,"['3s', '5d']","['As', '7s']","['8s', '2d', '8d', '6s']",,9h,100,100
10,River,0,-200,200,CHECK,0,"['3s', '5d']","['As', '7s']","['8s', '2d', '8d', '6s', 'Ah']",,9h,100,100
10,River,1,-200,200,CHECK,0,"['3s', '5d']","['As', '7s']","['8s', '2d', '8d', '6s', 'Ah']",,9h,100,100
11,Pre-Flop,1,-300,300,DISCARD,0,"['As', '8d']","['6d', '9h']","['Ah', '6s']",,,1,1
11,Pre-Flop,1,-300,300,CALL,0,"['As', '8d']","['6d', '9s']","['Ah', '6s']",,9h,1,1
11,Pre-Flop,0,-300,300,RAISE,98,"['As', '8d']","['6d', '9s']","['Ah', '6s']",,9h,2,2
11,Pre-Flop,1,-300,300,CALL,0,"['As', '8d']","['6d', '9s']","['Ah', '6s']",,9h,2,2
11,Flop,1,-300,300,CHECK,0,"['As', '8d']","['6d', '9s']","['Ah', '6s', '8s']",,9h,100,100
11,Flop,0,-300,300,CHECK,0,"['As', '8d']","['6d', '9s']","['Ah', '6s', '8s']",,9h,100,100
11,Turn,1,-300,300,CHECK,0,"['As', '8d']","['6d', '9s']","['Ah', '6s', '8s', '2s']",,9h,100,100
11,Turn,0,-300,300,CHECK,0,"['As', '8d']","['6d', '9s']","['Ah', '6s', '8s', '2s']",,9h,100,100
11,River,1,-300,300,CHECK,0,"['As', '8d']","['6d', '9s']","['Ah', '6s', '8s', '2s', '4s']",,9h,100,100
11,River,0,-300,300,CHECK,0,"['As', '8d']","['6d', '9s']","['Ah', '6s', '8s', '2s', '4s']",,9h,100,100
12,Pre-Flop,0,-200,200,RAISE,98,"['5h', '9h']","['6d', '6s']","['As', '8d']",,,1,1
12,Pre-Flop,1,-200,200,DISCARD,0,"['5h', '9h']","['6d', '6s']","['As', '8d']",,,2,2
12,Pre-Flop,1,-200,200,CALL,0,"['5h', '9h']","['6d', '8s']","['As', '8d']",,6s,2,2
12,Flop,0,-200,200,CHECK,0,"['5h', '9h']","['6d', '8s']","['As', '8d', '3s']",,6s,100,100
12,Flop,1,-200,200,CHECK,0,"['5h', '9h']","['6d', '8s']","['As', '8d', '3s']",,6s,100,100
12,Turn,0,-200,200,CHECK,0,"['5h', '9h']","['6d', '8s']","['As', '8d', '3s', '8h']",,6s,100,100
12,Turn,1,-200,200,CHECK,0,"['5h', '9h']","['6d', '8s']","['As', '8d', '3s', '8h']",,6s,100,100
12,River,0,-200,200,CHECK,0,"['5h', '9h']","['6d', '8s']","['As', '8d', '3s', '8h', '9d']",,6s,100,100
12,River,1,-200,200,CHECK,0,"['5h', '9h']","['6d', '8s']","['As', '8d', '3s', '8h', '9d']",,6s,100,100
13,Pre-Flop,1,-300,300,DISCARD,0,"['5h', 'Ad']","['3d', '8d']","['5d', 'As']",,,1,1
13,Pre-Flop,1,-300,300,CALL,0,"['5h', 'Ad']","['3s', '8d']","['5d', 'As']",,3d,1,1
13,Pre-Flop,0,-300,300,RAISE,98,"['5h', 'Ad']","['3s', '8d']","['5d', 'As']",,3d,2,2
13,Pre-Flop,1,-300,300,CALL,0,"['5h', 'Ad']","['3s', '8d']","['5d', 'As']",,3d,2,2
13,Flop,1,-300,300,CHECK,0,"['5h', 'Ad']","['3s', '8d']","['5d', 'As', '6s']",,3d,100,100
13,Flop,0,-300,300,CHECK,0,"['5h', 'Ad']","['3s', '8d']","['5d', 'As', '6s']",,3d,100,100
13,Turn,1,-300,300,CHECK,0,"['5h', 'Ad']","['3s', '8d']","['5d', 'As', '6s', '4d']",,3d,100,100
13,Turn,0,-300,300,CHECK,0,"['5h', 'Ad']","['3s', '8d']","['5d', 'As', '6s', '4d']",,3d,100,100
13,River,1,-300,300,CHECK,0,"['5h', 'Ad']","['3s', '8d']","['5d', 'As', '6s', '4d', '4s']",,3d,100,100
13,River,0,-300,300,CHECK,0,"['5h', 'Ad']","['3s', '8d']","['5d', 'As', '6s', '4d', '4s']",,3d,100,100
14,Pre-Flop,0,-200,200,RAISE,98,"['9s', '6h']","['9d', 'As']","['3s', '7h']",,,1,1
14,Pre-Flop,1,-200,200,DISCARD,0,"['9s', '6h']","['9d', 'As']","['3s', '7h']",,,2,2
14,Pre-Flop,1,-200,200,CALL,0,"['9s', '6h']","['5h', 'As']","['3s', '7h']",,9d,2,2
14,Flop,0,-200,200,CHECK,0,"['9s', '6h']","['5h', 'As']","['3s', '7h', '4d']",,9d,100,100
14,Flop,1,-200,200,CHECK,0,"['9s', '6h']","['5h', 'As']","['3s', '7h', '4d']",,9d,100,100
14,Turn,0,-200,200,CHECK,0,"['9s', '6h']","['5h', 'As']","['3s', '7h', '4d', '7s']",,9d,100,100
14,Turn,1,-200,200,CHECK,0,"['9s', '6h']","['5h', 'As']","['3s', '7h', '4d', '7s']",,9d,100,100
14,River,0,-200,200,CHECK,0,"['9s', '6h']","['5h', 'As']","['3s', '7h', '4d', '7s', '8d']",,9d,100,100
14,River,1,-200,200,CHECK,0,"['9s', '6h']","['5h', 'As']","['3s', '7h', '4d', '7s', '8d']",,9d,100,100
15,Pre-Flop,1,-300,300,DISCARD,0,"['5h', '3h']","['3d', 'Ah']","['8d', '8s']",,,1,1
15,Pre-Flop,1,-300,300,CALL,0,"['5h', '3h']","['3d', '3s']","['8d', '8s']",,Ah,1,1
15,Pre-Flop,0,-300,300,RAISE,98,"['5h', '3h']","['3d', '3s']","['8d', '8s']",,Ah,2,2
15,Pre-Flop,1,-300,300,CALL,0,"['5h', '3h']","['3d', '3s']","['8d', '8s']",,Ah,2,2
15,Flop,1,-300,300,CHECK,0,"['5h', '3h']","['3d', '3s']","['8d', '8s', 'Ad']",,Ah,100,100
15,Flop,0,-300,300,CHECK,0,"['5h', '3h']","['3d', '3s']","['8d', '8s', 'Ad']",,Ah,100,100
15,Turn,1,-300,300,CHECK,0,"['5h', '3h']","['3d', '3s']","['8d', '8s', 'Ad', '6s']",,Ah,100,100
15,Turn,0,-300,300,CHECK,0,"['5h', '3h']","['3d', '3s']","['8d', '8s', 'Ad', '6s']",,Ah,100,100
15,River,1,-300,300,CHECK,0,"['5h', '3h']","['3d', '3s']","['8d', '8s', 'Ad', '6s', '9d']",,Ah,100,100
15,River,0,-300,300,CHECK,0,"['5h', '3h']","['3d', '3s']","['8d', '8s', 'Ad', '6s', '9d']",,Ah,100,100
16,Pre-Flop,0,-400,400,RAISE,98,"['5s', '2d']","['4h', 'As']","['7s', '9h']",,,1,1
16,Pre-Flop,1,-400,400,DISCARD,0,"['5s', '2d']","['4h', 'As']","['7s', '9h']",,,2,2
16,Pre-Flop,1,-400,400,CALL,0,"['5s', '2d']","['4h', '3h']","['7s', '9h']",,As,2,2
16,Flop,0,-400,400,CHECK,0,"['5s', '2d']","['4h', '3h']","['7s', '9h', '7d']",,As,100,100
16,Flop,1,-400,400,CHECK,0,"['5s', '2d']","['4h', '3h']","['7s', '9h', '7d']",,As,100,100
16,Turn,0,-400,400,CHECK,0,"['5s', '2d']","['4h', '3h']","['7s', '9h', '7d', '5d']",,As,100,100
16,Turn,1,-400,400,CHECK,0,"['5s', '2d']","['4h', '3h']","['7s', '9h', '7d', '5d']",,As,100,100
16,River,0,-400,400,CHECK,0,"['5s', '2d']","['4h', '3h']","['7s', '9h', '7d', '5d', '4d']",,As,100,100
16,River,1,-400,400,CHECK,0,"['5s', '2d']","['4h', '3h']","['7s', '9h', '7d', '5d', '4d']",,As,100,100
17,Pre-Flop,1,-300,300,DISCARD,0,"['4h', 'Ad']","['2s', '5s']","['9d', '7h']",,,1,1
17,Pre-Flop,1,-300,300,CALL,0,"['4h', 'Ad']","['6h', '5s']","['9d', '7h']",,2s,1,1
